trigram,count,codepoints,unicode_names
ပညာ,48,U+1015 U+100A U+102C,MYANMAR LETTER PA | MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN AA
န်အ,48,U+1014 U+103A U+1021,MYANMAR LETTER NA | MYANMAR SIGN ASAT | MYANMAR LETTER A
ဆက်,48,U+1006 U+1000 U+103A,MYANMAR LETTER CHA | MYANMAR LETTER KA | MYANMAR SIGN ASAT
ြေံ,48,U+103C U+1031 U+1036,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN E | MYANMAR SIGN ANUSVARA
ံဂွ,47,U+1036 U+1002 U+103D,MYANMAR SIGN ANUSVARA | MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL WA
အ်ဂ,47,U+1021 U+103A U+1002,MYANMAR LETTER A | MYANMAR SIGN ASAT | MYANMAR LETTER GA
တ္တ,47,U+1010 U+1039 U+1010,MYANMAR LETTER TA | MYANMAR SIGN VIRAMA | MYANMAR LETTER TA
တ်ဂ,47,U+1010 U+103A U+1002,MYANMAR LETTER TA | MYANMAR SIGN ASAT | MYANMAR LETTER GA
်လ္,47,U+103A U+101C U+1039,MYANMAR SIGN ASAT | MYANMAR LETTER LA | MYANMAR SIGN VIRAMA
ဂးပ,46,U+1002 U+1038 U+1015,MYANMAR LETTER GA | MYANMAR SIGN VISARGA | MYANMAR LETTER PA
ပြၚ,46,U+1015 U+103C U+105A,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR LETTER MON NGA
က်ရ,46,U+1000 U+103A U+101B,MYANMAR LETTER KA | MYANMAR SIGN ASAT | MYANMAR LETTER RA
ပ္တ,46,U+1015 U+1039 U+1010,MYANMAR LETTER PA | MYANMAR SIGN VIRAMA | MYANMAR LETTER TA
ဝွံ,45,U+101D U+103D U+1036,MYANMAR LETTER WA | MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA
