bigram,count,codepoints,unicode_names
ၞိ,22245,U+105E U+102D,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN I
။ပ,22232,U+104B U+1015,MYANMAR SIGN SECTION | MYANMAR LETTER PA
ၟာ,21928,U+105F U+102C,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN AA
သေ,21677,U+101E U+1031,MYANMAR LETTER SA | MYANMAR VOWEL SIGN E
ံဒ,21542,U+1036 U+1012,MYANMAR SIGN ANUSVARA | MYANMAR LETTER DA
အခ,21493,U+1021 U+1001,MYANMAR LETTER A | MYANMAR LETTER KHA
္ဒ,21482,U+1039 U+1012,MYANMAR SIGN VIRAMA | MYANMAR LETTER DA
ဒု,21461,U+1012 U+102F,MYANMAR LETTER DA | MYANMAR VOWEL SIGN U
ဗွ,21251,U+1017 U+103D,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL WA
ခိ,21084,U+1001 U+102D,MYANMAR LETTER KHA | MYANMAR VOWEL SIGN I
ဒေ,20373,U+1012 U+1031,MYANMAR LETTER DA | MYANMAR VOWEL SIGN E
ာလ,20322,U+102C U+101C,MYANMAR VOWEL SIGN AA | MYANMAR LETTER LA
ိန,19986,U+102D U+1014,MYANMAR VOWEL SIGN I | MYANMAR LETTER NA
သိ,19890,U+101E U+102D,MYANMAR LETTER SA | MYANMAR VOWEL SIGN I
်ဖ,19771,U+103A U+1016,MYANMAR SIGN ASAT | MYANMAR LETTER PHA
ာအ,19553,U+102C U+1021,MYANMAR VOWEL SIGN AA | MYANMAR LETTER A
ဟိ,19550,U+101F U+102D,MYANMAR LETTER HA | MYANMAR VOWEL SIGN I
တၠ,19494,U+1010 U+1060,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ညာ,19492,U+100A U+102C,MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN AA
တၟ,19413,U+1010 U+105F,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL MA
မတ,19408,U+1019 U+1010,MYANMAR LETTER MA | MYANMAR LETTER TA
ချ,19401,U+1001 U+103B,MYANMAR LETTER KHA | MYANMAR CONSONANT SIGN MEDIAL YA
်ယ,19317,U+103A U+101A,MYANMAR SIGN ASAT | MYANMAR LETTER YA
တဳ,19145,U+1010 U+1033,MYANMAR LETTER TA | MYANMAR VOWEL SIGN MON II
်ဘ,19022,U+103A U+1018,MYANMAR SIGN ASAT | MYANMAR LETTER BHA
နက,18947,U+1014 U+1000,MYANMAR LETTER NA | MYANMAR LETTER KA
ြာ,18851,U+103C U+102C,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN AA
ေဟ,18699,U+1031 U+101F,MYANMAR VOWEL SIGN E | MYANMAR LETTER HA
အရ,18679,U+1021 U+101B,MYANMAR LETTER A | MYANMAR LETTER RA
ဟီ,18645,U+101F U+102E,MYANMAR LETTER HA | MYANMAR VOWEL SIGN II
လာ,18520,U+101C U+102C,MYANMAR LETTER LA | MYANMAR VOWEL SIGN AA
းမ,18380,U+1038 U+1019,MYANMAR SIGN VISARGA | MYANMAR LETTER MA
သု,18243,U+101E U+102F,MYANMAR LETTER SA | MYANMAR VOWEL SIGN U
ရး,18240,U+101B U+1038,MYANMAR LETTER RA | MYANMAR SIGN VISARGA
းဂ,18122,U+1038 U+1002,MYANMAR SIGN VISARGA | MYANMAR LETTER GA
ဍိ,18117,U+100D U+102D,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN I
ဒၟ,18060,U+1012 U+105F,MYANMAR LETTER DA | MYANMAR CONSONANT SIGN MON MEDIAL MA
တၞ,18048,U+1010 U+105E,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ံအ,18037,U+1036 U+1021,MYANMAR SIGN ANUSVARA | MYANMAR LETTER A
လု,18020,U+101C U+102F,MYANMAR LETTER LA | MYANMAR VOWEL SIGN U
ဴဝ,17945,U+1034 U+101D,MYANMAR VOWEL SIGN MON O | MYANMAR LETTER WA
မု,17817,U+1019 U+102F,MYANMAR LETTER MA | MYANMAR VOWEL SIGN U
ဇက,17656,U+1007 U+1000,MYANMAR LETTER JA | MYANMAR LETTER KA
န္,17592,U+1014 U+1039,MYANMAR LETTER NA | MYANMAR SIGN VIRAMA
၊ပ,17512,U+104A U+1015,MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER PA
ာဇ,17495,U+102C U+1007,MYANMAR VOWEL SIGN AA | MYANMAR LETTER JA
နိ,17479,U+1014 U+102D,MYANMAR LETTER NA | MYANMAR VOWEL SIGN I
ဍေ,17418,U+100D U+1031,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN E
ြိ,17297,U+103C U+102D,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN I
ဗ္,17260,U+1017 U+1039,MYANMAR LETTER BA | MYANMAR SIGN VIRAMA
မဂ,17184,U+1019 U+1002,MYANMAR LETTER MA | MYANMAR LETTER GA
ွမ,17148,U+103D U+1019,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR LETTER MA
ကမ,17084,U+1000 U+1019,MYANMAR LETTER KA | MYANMAR LETTER MA
ဍာ,17079,U+100D U+102C,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN AA
းအ,17054,U+1038 U+1021,MYANMAR SIGN VISARGA | MYANMAR LETTER A
မဒ,16982,U+1019 U+1012,MYANMAR LETTER MA | MYANMAR LETTER DA
်ၜ,16977,U+103A U+105C,MYANMAR SIGN ASAT | MYANMAR LETTER MON BBA
ြု,16966,U+103C U+102F,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN U
စာ,16844,U+1005 U+102C,MYANMAR LETTER CA | MYANMAR VOWEL SIGN AA
အဲ,16758,U+1021 U+1032,MYANMAR LETTER A | MYANMAR VOWEL SIGN AI
ကရ,16690,U+1000 U+101B,MYANMAR LETTER KA | MYANMAR LETTER RA
ေု,16682,U+1031 U+102F,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN U
တီ,16674,U+1010 U+102E,MYANMAR LETTER TA | MYANMAR VOWEL SIGN II
ုာ,16671,U+102F U+102C,MYANMAR VOWEL SIGN U | MYANMAR VOWEL SIGN AA
ကူ,16520,U+1000 U+1030,MYANMAR LETTER KA | MYANMAR VOWEL SIGN UU
တွ,16500,U+1010 U+103D,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL WA
ခရ,16378,U+1001 U+101B,MYANMAR LETTER KHA | MYANMAR LETTER RA
ဲလ,16356,U+1032 U+101C,MYANMAR VOWEL SIGN AI | MYANMAR LETTER LA
ံလ,16048,U+1036 U+101C,MYANMAR SIGN ANUSVARA | MYANMAR LETTER LA
ိပ,15999,U+102D U+1015,MYANMAR VOWEL SIGN I | MYANMAR LETTER PA
