bigram,count,codepoints,unicode_names
ှေ,29751,U+103E U+1031,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR VOWEL SIGN E
ာလ,29557,U+102C U+101C,MYANMAR VOWEL SIGN AA | MYANMAR LETTER LA
ဏံ,29459,U+100F U+1036,MYANMAR LETTER NNA | MYANMAR SIGN ANUSVARA
။ပ,29454,U+104B U+1015,MYANMAR SIGN SECTION | MYANMAR LETTER PA
ဗေ,29394,U+1017 U+1031,MYANMAR LETTER BA | MYANMAR VOWEL SIGN E
ပေ,28902,U+1015 U+1031,MYANMAR LETTER PA | MYANMAR VOWEL SIGN E
ံလ,28863,U+1036 U+101C,MYANMAR SIGN ANUSVARA | MYANMAR LETTER LA
သဳ,28716,U+101E U+1033,MYANMAR LETTER SA | MYANMAR VOWEL SIGN MON II
းမ,28668,U+1038 U+1019,MYANMAR SIGN VISARGA | MYANMAR LETTER MA
ွက,27826,U+103D U+1000,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR LETTER KA
ဗွ,27789,U+1017 U+103D,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL WA
ဒၟ,27752,U+1012 U+105F,MYANMAR LETTER DA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ာရ,27704,U+102C U+101B,MYANMAR VOWEL SIGN AA | MYANMAR LETTER RA
ရး,27658,U+101B U+1038,MYANMAR LETTER RA | MYANMAR SIGN VISARGA
ံအ,27616,U+1036 U+1021,MYANMAR SIGN ANUSVARA | MYANMAR LETTER A
တြ,27505,U+1010 U+103C,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL RA
တဴ,27289,U+1010 U+1034,MYANMAR LETTER TA | MYANMAR VOWEL SIGN MON O
ြဴ,27207,U+103C U+1034,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN MON O
ကမ,26954,U+1000 U+1019,MYANMAR LETTER KA | MYANMAR LETTER MA
ဗြ,26814,U+1017 U+103C,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL RA
မတ,26701,U+1019 U+1010,MYANMAR LETTER MA | MYANMAR LETTER TA
ပၠ,26694,U+1015 U+1060,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MON MEDIAL LA
်ၜ,26528,U+103A U+105C,MYANMAR SIGN ASAT | MYANMAR LETTER MON BBA
်ယ,26520,U+103A U+101A,MYANMAR SIGN ASAT | MYANMAR LETTER YA
ဍေ,26513,U+100D U+1031,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN E
ရု,26444,U+101B U+102F,MYANMAR LETTER RA | MYANMAR VOWEL SIGN U
ဍိ,26341,U+100D U+102D,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN I
ဟိ,26283,U+101F U+102D,MYANMAR LETTER HA | MYANMAR VOWEL SIGN I
္ဒ,25950,U+1039 U+1012,MYANMAR SIGN VIRAMA | MYANMAR LETTER DA
ိန,25835,U+102D U+1014,MYANMAR VOWEL SIGN I | MYANMAR LETTER NA
ၞု,25647,U+105E U+102F,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN U
ကိ,25477,U+1000 U+102D,MYANMAR LETTER KA | MYANMAR VOWEL SIGN I
နက,25158,U+1014 U+1000,MYANMAR LETTER NA | MYANMAR LETTER KA
းဂ,25089,U+1038 U+1002,MYANMAR SIGN VISARGA | MYANMAR LETTER GA
ာအ,25012,U+102C U+1021,MYANMAR VOWEL SIGN AA | MYANMAR LETTER A
ဗ္,24831,U+1017 U+1039,MYANMAR LETTER BA | MYANMAR SIGN VIRAMA
ညာ,24791,U+100A U+102C,MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN AA
အလ,24779,U+1021 U+101C,MYANMAR LETTER A | MYANMAR LETTER LA
ဲလ,24743,U+1032 U+101C,MYANMAR VOWEL SIGN AI | MYANMAR LETTER LA
ဲဒ,24719,U+1032 U+1012,MYANMAR VOWEL SIGN AI | MYANMAR LETTER DA
ဍာ,24691,U+100D U+102C,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN AA
ဇြ,24357,U+1007 U+103C,MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MEDIAL RA
ဇက,24317,U+1007 U+1000,MYANMAR LETTER JA | MYANMAR LETTER KA
ကရ,24311,U+1000 U+101B,MYANMAR LETTER KA | MYANMAR LETTER RA
တၞ,24074,U+1010 U+105E,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ြာ,24033,U+103C U+102C,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN AA
တီ,24013,U+1010 U+102E,MYANMAR LETTER TA | MYANMAR VOWEL SIGN II
တွ,23825,U+1010 U+103D,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL WA
လာ,23803,U+101C U+102C,MYANMAR LETTER LA | MYANMAR VOWEL SIGN AA
သိ,23523,U+101E U+102D,MYANMAR LETTER SA | MYANMAR VOWEL SIGN I
စာ,23479,U+1005 U+102C,MYANMAR LETTER CA | MYANMAR VOWEL SIGN AA
၊ပ,23259,U+104A U+1015,MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER PA
တန,23237,U+1010 U+1014,MYANMAR LETTER TA | MYANMAR LETTER NA
းအ,23237,U+1038 U+1021,MYANMAR SIGN VISARGA | MYANMAR LETTER A
ေန,23090,U+1031 U+1014,MYANMAR VOWEL SIGN E | MYANMAR LETTER NA
ာင,23080,U+102C U+1004,MYANMAR VOWEL SIGN AA | MYANMAR LETTER NGA
ၠာ,23039,U+1060 U+102C,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN AA
ပၞ,22988,U+1015 U+105E,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ၟတ,22918,U+105F U+1010,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR LETTER TA
မု,22914,U+1019 U+102F,MYANMAR LETTER MA | MYANMAR VOWEL SIGN U
်ဘ,22882,U+103A U+1018,MYANMAR SIGN ASAT | MYANMAR LETTER BHA
္စ,22639,U+1039 U+1005,MYANMAR SIGN VIRAMA | MYANMAR LETTER CA
တဳ,22537,U+1010 U+1033,MYANMAR LETTER TA | MYANMAR VOWEL SIGN MON II
ြေ,22315,U+103C U+1031,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN E
ူမ,22297,U+1030 U+1019,MYANMAR VOWEL SIGN UU | MYANMAR LETTER MA
ဲရ,22269,U+1032 U+101B,MYANMAR VOWEL SIGN AI | MYANMAR LETTER RA
သီ,22036,U+101E U+102E,MYANMAR LETTER SA | MYANMAR VOWEL SIGN II
ျေ,21987,U+103B U+1031,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN E
တာ,21971,U+1010 U+102C,MYANMAR LETTER TA | MYANMAR VOWEL SIGN AA
သု,21764,U+101E U+102F,MYANMAR LETTER SA | MYANMAR VOWEL SIGN U
ေ်,21571,U+1031 U+103A,MYANMAR VOWEL SIGN E | MYANMAR SIGN ASAT
ြိ,21495,U+103C U+102D,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN I
းရ,21486,U+1038 U+101B,MYANMAR SIGN VISARGA | MYANMAR LETTER RA
ထေ,21391,U+1011 U+1031,MYANMAR LETTER THA | MYANMAR VOWEL SIGN E
်ဆ,21385,U+103A U+1006,MYANMAR SIGN ASAT | MYANMAR LETTER CHA
ူက,21329,U+1030 U+1000,MYANMAR VOWEL SIGN UU | MYANMAR LETTER KA
တှ,20980,U+1010 U+103E,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL HA
းပ,20976,U+1038 U+1015,MYANMAR SIGN VISARGA | MYANMAR LETTER PA
လၟ,20956,U+101C U+105F,MYANMAR LETTER LA | MYANMAR CONSONANT SIGN MON MEDIAL MA
