bigram,count,codepoints,unicode_names
ခိ,39308,U+1001 U+102D,MYANMAR LETTER KHA | MYANMAR VOWEL SIGN I
nt,39229,U+006E U+0074,LATIN SMALL LETTER N | LATIN SMALL LETTER T
လု,38432,U+101C U+102F,MYANMAR LETTER LA | MYANMAR VOWEL SIGN U
ဍေ,38362,U+100D U+1031,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN E
တၟ,38308,U+1010 U+105F,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ွိ,38253,U+103D U+102D,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN I
(v,38187,U+0028 U+0076,LEFT PARENTHESIS | LATIN SMALL LETTER V
ာဂ,38123,U+102C U+1002,MYANMAR VOWEL SIGN AA | MYANMAR LETTER GA
ဗွ,37874,U+1017 U+103D,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL WA
တၠ,37612,U+1010 U+1060,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL LA
။ပ,37411,U+104B U+1015,MYANMAR SIGN SECTION | MYANMAR LETTER PA
ဒၟ,37012,U+1012 U+105F,MYANMAR LETTER DA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ရဴ,36948,U+101B U+1034,MYANMAR LETTER RA | MYANMAR VOWEL SIGN MON O
ညာ,36648,U+100A U+102C,MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN AA
ပေ,36632,U+1015 U+1031,MYANMAR LETTER PA | MYANMAR VOWEL SIGN E
်ဖ,36625,U+103A U+1016,MYANMAR SIGN ASAT | MYANMAR LETTER PHA
ng,36243,U+006E U+0067,LATIN SMALL LETTER N | LATIN SMALL LETTER G
်ဏ,36175,U+103A U+100F,MYANMAR SIGN ASAT | MYANMAR LETTER NNA
ံလ,36080,U+1036 U+101C,MYANMAR SIGN ANUSVARA | MYANMAR LETTER LA
ာလ,35731,U+102C U+101C,MYANMAR VOWEL SIGN AA | MYANMAR LETTER LA
ဝါ,35593,U+101D U+102B,MYANMAR LETTER WA | MYANMAR VOWEL SIGN TALL AA
ံရ,35356,U+1036 U+101B,MYANMAR SIGN ANUSVARA | MYANMAR LETTER RA
