trigram,count,codepoints,unicode_names
ၚဂမ,1,U+105A U+1002 U+1019,MYANMAR LETTER MON NGA | MYANMAR LETTER GA | MYANMAR LETTER MA
ၠကၠ,1,U+1060 U+1000 U+1060,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MON MEDIAL LA
်ၜဲ,1,U+103A U+105C U+1032,MYANMAR SIGN ASAT | MYANMAR LETTER MON BBA | MYANMAR VOWEL SIGN AI
ၜဲလ,1,U+105C U+1032 U+101C,MYANMAR LETTER MON BBA | MYANMAR VOWEL SIGN AI | MYANMAR LETTER LA
္ၚဴ,1,U+1039 U+105A U+1034,MYANMAR SIGN VIRAMA | MYANMAR LETTER MON NGA | MYANMAR VOWEL SIGN MON O
ၚဴ၊,1,U+105A U+1034 U+104A,MYANMAR LETTER MON NGA | MYANMAR VOWEL SIGN MON O | MYANMAR SIGN LITTLE SECTION
ဴ၊တ,1,U+1034 U+104A U+1010,MYANMAR VOWEL SIGN MON O | MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER TA
တၠၜ,1,U+1010 U+1060 U+105C,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR LETTER MON BBA
ၠၜဵ,1,U+1060 U+105C U+1035,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR LETTER MON BBA | MYANMAR VOWEL SIGN E ABOVE
ၜဵု,1,U+105C U+1035 U+102F,MYANMAR LETTER MON BBA | MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN U
ၠတမ,1,U+1060 U+1010 U+1019,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR LETTER TA | MYANMAR LETTER MA
ဂူဟ,1,U+1002 U+1030 U+101F,MYANMAR LETTER GA | MYANMAR VOWEL SIGN UU | MYANMAR LETTER HA
ူသက,1,U+1030 U+101E U+1000,MYANMAR VOWEL SIGN UU | MYANMAR LETTER SA | MYANMAR LETTER KA
ၠဳု,1,U+1060 U+1033 U+102F,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN MON II | MYANMAR VOWEL SIGN U
ဳုဂ,1,U+1033 U+102F U+1002,MYANMAR VOWEL SIGN MON II | MYANMAR VOWEL SIGN U | MYANMAR LETTER GA
ုဂူ,1,U+102F U+1002 U+1030,MYANMAR VOWEL SIGN U | MYANMAR LETTER GA | MYANMAR VOWEL SIGN UU
ဂူစ,1,U+1002 U+1030 U+1005,MYANMAR LETTER GA | MYANMAR VOWEL SIGN UU | MYANMAR LETTER CA
ဘဲဂ,1,U+1018 U+1032 U+1002,MYANMAR LETTER BHA | MYANMAR VOWEL SIGN AI | MYANMAR LETTER GA
ဲဂဂ,1,U+1032 U+1002 U+1002,MYANMAR VOWEL SIGN AI | MYANMAR LETTER GA | MYANMAR LETTER GA
တးဘ,1,U+1010 U+1038 U+1018,MYANMAR LETTER TA | MYANMAR SIGN VISARGA | MYANMAR LETTER BHA
ဘဲဍ,1,U+1018 U+1032 U+100D,MYANMAR LETTER BHA | MYANMAR VOWEL SIGN AI | MYANMAR LETTER DDA
ဘဲတ,1,U+1018 U+1032 U+1010,MYANMAR LETTER BHA | MYANMAR VOWEL SIGN AI | MYANMAR LETTER TA
ိလာ,1,U+102D U+101C U+102C,MYANMAR VOWEL SIGN I | MYANMAR LETTER LA | MYANMAR VOWEL SIGN AA
၁သတ,1,U+1041 U+101E U+1010,MYANMAR DIGIT ONE | MYANMAR LETTER SA | MYANMAR LETTER TA
တဟလ,1,U+1010 U+101F U+101C,MYANMAR LETTER TA | MYANMAR LETTER HA | MYANMAR LETTER LA
ဟလတ,1,U+101F U+101C U+1010,MYANMAR LETTER HA | MYANMAR LETTER LA | MYANMAR LETTER TA
လတိ,1,U+101C U+1010 U+102D,MYANMAR LETTER LA | MYANMAR LETTER TA | MYANMAR VOWEL SIGN I
ရးစ,1,U+101B U+1038 U+1005,MYANMAR LETTER RA | MYANMAR SIGN VISARGA | MYANMAR LETTER CA
းစဗ,1,U+1038 U+1005 U+1017,MYANMAR SIGN VISARGA | MYANMAR LETTER CA | MYANMAR LETTER BA
နူဃ,1,U+1014 U+1030 U+1003,MYANMAR LETTER NA | MYANMAR VOWEL SIGN UU | MYANMAR LETTER GHA
ူဃံ,1,U+1030 U+1003 U+1036,MYANMAR VOWEL SIGN UU | MYANMAR LETTER GHA | MYANMAR SIGN ANUSVARA
