bigram,count,codepoints,unicode_names
ံအ,128,U+1036 U+1021,MYANMAR SIGN ANUSVARA | MYANMAR LETTER A
ရမ,128,U+101B U+1019,MYANMAR LETTER RA | MYANMAR LETTER MA
မဂ,127,U+1019 U+1002,MYANMAR LETTER MA | MYANMAR LETTER GA
်ဆ,126,U+103A U+1006,MYANMAR SIGN ASAT | MYANMAR LETTER CHA
ွဟ,126,U+103D U+101F,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR LETTER HA
ၞါ,126,U+105E U+102B,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN TALL AA
ဍာ,125,U+100D U+102C,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN AA
။အ,125,U+104B U+1021,MYANMAR SIGN SECTION | MYANMAR LETTER A
ဂမ,124,U+1002 U+1019,MYANMAR LETTER GA | MYANMAR LETTER MA
တန,122,U+1010 U+1014,MYANMAR LETTER TA | MYANMAR LETTER NA
္ဒ,120,U+1039 U+1012,MYANMAR SIGN VIRAMA | MYANMAR LETTER DA
ူဂ,119,U+1030 U+1002,MYANMAR VOWEL SIGN UU | MYANMAR LETTER GA
ညံ,118,U+100A U+1036,MYANMAR LETTER NNYA | MYANMAR SIGN ANUSVARA
ဳပ,118,U+1033 U+1015,MYANMAR VOWEL SIGN MON II | MYANMAR LETTER PA
ဗြ,115,U+1017 U+103C,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL RA
ယ်,115,U+101A U+103A,MYANMAR LETTER YA | MYANMAR SIGN ASAT
းန,115,U+1038 U+1014,MYANMAR SIGN VISARGA | MYANMAR LETTER NA
းအ,114,U+1038 U+1021,MYANMAR SIGN VISARGA | MYANMAR LETTER A
ြဴ,114,U+103C U+1034,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN MON O
ၠာ,114,U+1060 U+102C,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN AA
ယျ,114,U+101A U+103B,MYANMAR LETTER YA | MYANMAR CONSONANT SIGN MEDIAL YA
ေု,114,U+1031 U+102F,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN U
ုာ,114,U+102F U+102C,MYANMAR VOWEL SIGN U | MYANMAR VOWEL SIGN AA
ိ။,114,U+102D U+104B,MYANMAR VOWEL SIGN I | MYANMAR SIGN SECTION
