file,cluster_count,raw_text_length,nga_to_mon_nga_replacements,mon_half_stop_removed,mon_full_stop_removed,status
monnews/monnews_20260120_223250_1280.txt,2773,6882,0,0,0,ok
monnews/monnews_20260120_223250_163.txt,2130,5144,211,0,0,ok
monnews/monnews_20260120_223250_3512.txt,1316,3337,0,0,0,ok
monnews/monnews_20260120_223250_1305.txt,1049,2650,0,0,0,ok
monnews/monnews_20260120_223250_2784.txt,750,1927,0,0,0,ok
monnews/monnews_20260120_223250_3161.txt,481,1228,0,0,0,ok
monnews/monnews_20260120_223250_834.txt,561,1438,0,0,0,ok
monnews/monnews_20260120_223250_2145.txt,1031,2669,0,0,0,ok
monnews/monnews_20260120_223250_604.txt,2881,7028,0,0,0,ok
monnews/monnews_20260120_223250_3410.txt,1059,2591,0,0,0,ok
monnews/monnews_20260120_223250_3476.txt,1455,3542,0,0,0,ok
monnews/monnews_20260120_223250_866.txt,614,1699,0,0,0,ok
monnews/monnews_20260120_223250_672.txt,969,2342,0,0,0,ok
monnews/monnews_20260120_223250_1593.txt,819,1991,70,0,0,ok
monnews/monnews_20260120_223250_1905.txt,1129,2808,0,0,0,ok
monnews/monnews_20260120_223250_1286.txt,714,1738,0,0,0,ok
monnews/monnews_20260120_223250_3131.txt,877,2206,0,0,0,ok
monnews/monnews_20260120_223250_1045.txt,712,1811,0,0,0,ok
monnews/monnews_20260120_223250_1914.txt,963,2400,0,0,0,ok
monnews/monnews_20260120_223250_1153.txt,871,2238,0,0,0,ok
monnews/monnews_20260120_223250_2006.txt,914,2259,0,0,0,ok
monnews/monnews_20260120_223250_368.txt,1993,5250,6,0,0,ok
monnews/monnews_20260120_223250_2171.txt,911,2382,0,0,0,ok
monnews/monnews_20260120_223250_1981.txt,752,1841,0,0,0,ok
monnews/monnews_20260120_223250_628.txt,868,2129,0,0,0,ok
monnews/monnews_20260120_223250_3191.txt,844,2050,0,0,0,ok
monnews/monnews_20260120_223250_2047.txt,818,1967,0,0,0,ok
monnews/monnews_20260120_223250_3112.txt,1130,2687,0,0,0,ok
monnews/monnews_20260120_223250_218.txt,823,2022,57,0,0,ok
monnews/monnews_20260120_223250_3357.txt,1243,3065,0,0,0,ok
monnews/monnews_20260120_223250_1001.txt,686,1633,0,0,0,ok
monnews/monnews_20260120_223250_2410.txt,1139,2769,0,0,0,ok
monnews/monnews_20260120_223250_1807.txt,1095,2870,0,0,0,ok
monnews/monnews_20260120_223250_498.txt,779,1944,0,0,0,ok
monnews/monnews_20260120_223250_326.txt,778,1943,76,0,0,ok
monnews/monnews_20260120_223250_3422.txt,5416,13543,0,0,0,ok
monnews/monnews_20260120_223250_2699.txt,1087,2563,0,0,0,ok
monnews/monnews_20260120_223250_2479.txt,634,1605,0,0,0,ok
monnews/monnews_20260120_223250_532.txt,2205,5541,0,0,0,ok
monnews/monnews_20260120_223250_1117.txt,663,1643,0,0,0,ok
monnews/monnews_20260120_223250_565.txt,649,1597,0,0,0,ok
monnews/monnews_20260120_223250_422.txt,755,1832,0,0,0,ok
monnews/monnews_20260120_223250_1284.txt,653,1569,0,0,0,ok
monnews/monnews_20260120_223250_2433.txt,948,2384,0,0,0,ok
